,ID,ElectionYear,CountyName,PartyName,CandidateName,Votes,YesVotes,NoVotes,Percentage,YesVotesPercent,NoVotesPercent,RunningMateName,Level,RankOrder,IsRetention,office
2,,2018,FOREST,GRN,"GLOVER, PAUL ",14,0,0,0.72,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",FOREST,14,0,Governor
3,,2018,FOREST,LIB,"KRAWCHUK, KENNETH V ",19,0,0,0.98,0.00,0.00,"SMITH, KATHLEEN S",FOREST,17,0,Governor
0,2,2018,FRANKLIN,DEM,"WOLF, THOMAS W ",18447,0,0,33.59,0.00,0.00,"FETTERMAN, JOHN K",FRANKLIN,1,0,Governor
1,4,2018,FRANKLIN,REP,"WAGNER, SCOTT R ",35634,0,0,64.88,0.00,0.00,"BARTOS, JEFFREY A",FRANKLIN,5,0,Governor
2,,2018,FRANKLIN,GRN,"GLOVER, PAUL ",316,0,0,0.58,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",FRANKLIN,14,0,Governor
3,,2018,FRANKLIN,LIB,"KRAWCHUK, KENNETH V ",525,0,0,0.96,0.00,0.00,"SMITH, KATHLEEN S",FRANKLIN,17,0,Governor
0,2,2018,FULTON,DEM,"WOLF, THOMAS W ",1037,0,0,19.58,0.00,0.00,"FETTERMAN, JOHN K",FULTON,1,0,Governor
1,4,2018,FULTON,REP,"WAGNER, SCOTT R ",4202,0,0,79.34,0.00,0.00,"BARTOS, JEFFREY A",FULTON,5,0,Governor
2,,2018,FULTON,GRN,"GLOVER, PAUL ",18,0,0,0.34,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",FULTON,14,0,Governor
3,,2018,FULTON,LIB,"KRAWCHUK, KENNETH V ",39,0,0,0.74,0.00,0.00,"SMITH, KATHLEEN S",FULTON,17,0,Governor
0,2,2018,GREENE,DEM,"WOLF, THOMAS W ",5844,0,0,46.95,0.00,0.00,"FETTERMAN, JOHN K",GREENE,1,0,Governor
1,4,2018,GREENE,REP,"WAGNER, SCOTT R ",6381,0,0,51.26,0.00,0.00,"BARTOS, JEFFREY A",GREENE,5,0,Governor
2,,2018,GREENE,GRN,"GLOVER, PAUL ",108,0,0,0.87,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",GREENE,14,0,Governor
3,,2018,GREENE,LIB,"KRAWCHUK, KENNETH V ",115,0,0,0.92,0.00,0.00,"SMITH, KATHLEEN S",GREENE,17,0,Governor
0,2,2018,HUNTINGDON,DEM,"WOLF, THOMAS W ",5037,0,0,31.68,0.00,0.00,"FETTERMAN, JOHN K",HUNTINGDON,1,0,Governor
1,4,2018,HUNTINGDON,REP,"WAGNER, SCOTT R ",10586,0,0,66.57,0.00,0.00,"BARTOS, JEFFREY A",HUNTINGDON,5,0,Governor
2,,2018,HUNTINGDON,GRN,"GLOVER, PAUL ",101,0,0,0.64,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",HUNTINGDON,14,0,Governor
3,,2018,HUNTINGDON,LIB,"KRAWCHUK, KENNETH V ",177,0,0,1.11,0.00,0.00,"SMITH, KATHLEEN S",HUNTINGDON,17,0,Governor
0,2,2018,INDIANA,DEM,"WOLF, THOMAS W ",12715,0,0,43.25,0.00,0.00,"FETTERMAN, JOHN K",INDIANA,1,0,Governor
1,4,2018,INDIANA,REP,"WAGNER, SCOTT R ",16179,0,0,55.04,0.00,0.00,"BARTOS, JEFFREY A",INDIANA,5,0,Governor
2,,2018,INDIANA,GRN,"GLOVER, PAUL ",213,0,0,0.72,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",INDIANA,14,0,Governor
3,,2018,INDIANA,LIB,"KRAWCHUK, KENNETH V ",289,0,0,0.98,0.00,0.00,"SMITH, KATHLEEN S",INDIANA,17,0,Governor
0,2,2018,JEFFERSON,DEM,"WOLF, THOMAS W ",4277,0,0,27.46,0.00,0.00,"FETTERMAN, JOHN K",JEFFERSON,1,0,Governor
1,4,2018,JEFFERSON,REP,"WAGNER, SCOTT R ",11036,0,0,70.86,0.00,0.00,"BARTOS, JEFFREY A",JEFFERSON,5,0,Governor
2,,2018,JEFFERSON,GRN,"GLOVER, PAUL ",88,0,0,0.57,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",JEFFERSON,14,0,Governor
3,,2018,JEFFERSON,LIB,"KRAWCHUK, KENNETH V ",173,0,0,1.11,0.00,0.00,"SMITH, KATHLEEN S",JEFFERSON,17,0,Governor
0,2,2018,JUNIATA,DEM,"WOLF, THOMAS W ",2550,0,0,30.02,0.00,0.00,"FETTERMAN, JOHN K",JUNIATA,1,0,Governor
1,4,2018,JUNIATA,REP,"WAGNER, SCOTT R ",5780,0,0,68.06,0.00,0.00,"BARTOS, JEFFREY A",JUNIATA,5,0,Governor
2,,2018,JUNIATA,GRN,"GLOVER, PAUL ",62,0,0,0.73,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",JUNIATA,14,0,Governor
3,,2018,JUNIATA,LIB,"KRAWCHUK, KENNETH V ",101,0,0,1.19,0.00,0.00,"SMITH, KATHLEEN S",JUNIATA,17,0,Governor
0,2,2018,LACKAWANNA,DEM,"WOLF, THOMAS W ",54237,0,0,64.63,0.00,0.00,"FETTERMAN, JOHN K",LACKAWANNA,1,0,Governor
1,4,2018,LACKAWANNA,REP,"WAGNER, SCOTT R ",28616,0,0,34.10,0.00,0.00,"BARTOS, JEFFREY A",LACKAWANNA,5,0,Governor
2,,2018,LACKAWANNA,GRN,"GLOVER, PAUL ",436,0,0,0.52,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",LACKAWANNA,14,0,Governor
3,,2018,LACKAWANNA,LIB,"KRAWCHUK, KENNETH V ",624,0,0,0.74,0.00,0.00,"SMITH, KATHLEEN S",LACKAWANNA,17,0,Governor
0,2,2018,LANCASTER,DEM,"WOLF, THOMAS W ",96040,0,0,47.49,0.00,0.00,"FETTERMAN, JOHN K",LANCASTER,1,0,Governor
1,4,2018,LANCASTER,REP,"WAGNER, SCOTT R ",102229,0,0,50.55,0.00,0.00,"BARTOS, JEFFREY A",LANCASTER,5,0,Governor
2,,2018,LANCASTER,GRN,"GLOVER, PAUL ",1118,0,0,0.55,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",LANCASTER,14,0,Governor
3,,2018,LANCASTER,LIB,"KRAWCHUK, KENNETH V ",2837,0,0,1.40,0.00,0.00,"SMITH, KATHLEEN S",LANCASTER,17,0,Governor
0,2,2018,LAWRENCE,DEM,"WOLF, THOMAS W ",15035,0,0,46.63,0.00,0.00,"FETTERMAN, JOHN K",LAWRENCE,1,0,Governor
1,4,2018,LAWRENCE,REP,"WAGNER, SCOTT R ",16714,0,0,51.84,0.00,0.00,"BARTOS, JEFFREY A",LAWRENCE,5,0,Governor
2,,2018,LAWRENCE,GRN,"GLOVER, PAUL ",201,0,0,0.62,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",LAWRENCE,14,0,Governor
3,,2018,LAWRENCE,LIB,"KRAWCHUK, KENNETH V ",291,0,0,0.90,0.00,0.00,"SMITH, KATHLEEN S",LAWRENCE,17,0,Governor
0,2,2018,LEBANON,DEM,"WOLF, THOMAS W ",20159,0,0,41.05,0.00,0.00,"FETTERMAN, JOHN K",LEBANON,1,0,Governor
1,4,2018,LEBANON,REP,"WAGNER, SCOTT R ",28096,0,0,57.21,0.00,0.00,"BARTOS, JEFFREY A",LEBANON,5,0,Governor
2,,2018,LEBANON,GRN,"GLOVER, PAUL ",255,0,0,0.52,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",LEBANON,14,0,Governor
3,,2018,LEBANON,LIB,"KRAWCHUK, KENNETH V ",598,0,0,1.22,0.00,0.00,"SMITH, KATHLEEN S",LEBANON,17,0,Governor
0,2,2018,LEHIGH,DEM,"WOLF, THOMAS W ",77248,0,0,60.07,0.00,0.00,"FETTERMAN, JOHN K",LEHIGH,1,0,Governor
1,4,2018,LEHIGH,REP,"WAGNER, SCOTT R ",49071,0,0,38.16,0.00,0.00,"BARTOS, JEFFREY A",LEHIGH,5,0,Governor
2,,2018,LEHIGH,GRN,"GLOVER, PAUL ",802,0,0,0.62,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",LEHIGH,14,0,Governor
3,,2018,LEHIGH,LIB,"KRAWCHUK, KENNETH V ",1485,0,0,1.15,0.00,0.00,"SMITH, KATHLEEN S",LEHIGH,17,0,Governor
0,2,2018,LUZERNE,DEM,"WOLF, THOMAS W ",55734,0,0,51.69,0.00,0.00,"FETTERMAN, JOHN K",LUZERNE,1,0,Governor
1,4,2018,LUZERNE,REP,"WAGNER, SCOTT R ",50701,0,0,47.02,0.00,0.00,"BARTOS, JEFFREY A",LUZERNE,5,0,Governor
2,,2018,LUZERNE,GRN,"GLOVER, PAUL ",562,0,0,0.52,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",LUZERNE,14,0,Governor
3,,2018,LUZERNE,LIB,"KRAWCHUK, KENNETH V ",826,0,0,0.77,0.00,0.00,"SMITH, KATHLEEN S",LUZERNE,17,0,Governor
0,2,2018,LYCOMING,DEM,"WOLF, THOMAS W ",14727,0,0,35.90,0.00,0.00,"FETTERMAN, JOHN K",LYCOMING,1,0,Governor
1,4,2018,LYCOMING,REP,"WAGNER, SCOTT R ",25570,0,0,62.33,0.00,0.00,"BARTOS, JEFFREY A",LYCOMING,5,0,Governor
2,,2018,LYCOMING,GRN,"GLOVER, PAUL ",275,0,0,0.67,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",LYCOMING,14,0,Governor
3,,2018,LYCOMING,LIB,"KRAWCHUK, KENNETH V ",453,0,0,1.10,0.00,0.00,"SMITH, KATHLEEN S",LYCOMING,17,0,Governor
